编号,深夜出没地,期末生存方式,宵夜频率,想加入的社团,经济状态,毕业最想带走,早八到教室,操场上的位置,搞砸了的那晚,相册里的多数
S0026,食堂窗口,刷往年题,天天吃,志愿者协会,兼职自力更生,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0027,网吧,组团开黑边复习,天天吃,摄影社,月初土豪，月底吃土,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0028,宿舍床上,提前两周就复习完了,从不,摄影社,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0029,食堂窗口,组团开黑边复习,天天吃,电竞社,月初土豪，月底吃土,食堂的那个窗口,提前十分钟到，坐前排,看台或树下，看别人动,拉朋友出去吃一顿,课件、板书、PPT 截图
S0030,宿舍床上,刷往年题,一周三五次,辩论队,月初土豪，月底吃土,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0031,操场跑道,组团开黑边复习,偶尔,摄影社,兼职自力更生,操场的那圈跑道,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0032,宿舍床上,临时抱佛脚,从不,乐队,家里定时打钱,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0033,宿舍床上,组团开黑边复习,一周三五次,乐队,家里定时打钱,食堂的那个窗口,让室友帮忙占座，自己慢慢来,球场，组队打一场,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0034,网吧,临时抱佛脚,一周三五次,电竞社,兼职自力更生,图书馆那张常坐的座位,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0035,图书馆自习室,死磕课本,从不,志愿者协会,月初土豪，月底吃土,宿舍的那群人,选了，但没去过几次,器械区随便练练，练完就走,睡一觉，第二天照常,风景和现场：演出、展览、天空
S0036,图书馆自习室,提前两周就复习完了,从不,辩论队,家里定时打钱,图书馆那张常坐的座位,提前十分钟到，坐前排,看台或树下，看别人动,睡一觉，第二天照常,风景和现场：演出、展览、天空
S0037,图书馆自习室,临时抱佛脚,天天吃,电竞社,兼职自力更生,宿舍的那群人,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0038,食堂窗口,临时抱佛脚,天天吃,乐队,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,看台或树下，看别人动,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0039,图书馆自习室,提前两周就复习完了,从不,摄影社,兼职自力更生,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0040,网吧,临时抱佛脚,天天吃,电竞社,家里定时打钱,操场的那圈跑道,选了，但没去过几次,跑道上，一个人戴着耳机跑,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0041,图书馆自习室,刷往年题,从不,辩论队,月初土豪，月底吃土,图书馆那张常坐的座位,让室友帮忙占座，自己慢慢来,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0042,食堂窗口,刷往年题,天天吃,摄影社,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,给家里打个电话,吃的：外卖、食堂、探店
S0043,操场跑道,提前两周就复习完了,偶尔,辩论队,靠奖学金过日子,操场的那圈跑道,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,给家里打个电话,运动记录、跑步路线、装备
S0044,图书馆自习室,死磕课本,偶尔,志愿者协会,家里定时打钱,食堂的那个窗口,提前十分钟到，坐前排,看台或树下，看别人动,睡一觉，第二天照常,课件、板书、PPT 截图
S0045,图书馆自习室,刷往年题,从不,摄影社,家里定时打钱,什么也没带走，但也没白来,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0046,宿舍床上,组团开黑边复习,一周三五次,乐队,月初土豪，月底吃土,宿舍的那群人,早上根本没课，我的课都在下午,看台或树下，看别人动,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0047,网吧,组团开黑边复习,一周三五次,电竞社,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0048,宿舍床上,死磕课本,从不,志愿者协会,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0049,图书馆自习室,提前两周就复习完了,偶尔,辩论队,月初土豪，月底吃土,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,睡一觉，第二天照常,课件、板书、PPT 截图
S0050,网吧,临时抱佛脚,偶尔,志愿者协会,兼职自力更生,操场的那圈跑道,早上根本没课，我的课都在下午,球场，组队打一场,给家里打个电话,吃的：外卖、食堂、探店
S0051,图书馆自习室,提前两周就复习完了,从不,乐队,兼职自力更生,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,给家里打个电话,课件、板书、PPT 截图
S0052,图书馆自习室,死磕课本,从不,志愿者协会,靠奖学金过日子,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0053,食堂窗口,死磕课本,一周三五次,辩论队,兼职自力更生,宿舍的那群人,提前十分钟到，坐前排,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0054,食堂窗口,刷往年题,偶尔,摄影社,家里定时打钱,操场的那圈跑道,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,运动记录、跑步路线、装备
S0055,操场跑道,刷往年题,一周三五次,志愿者协会,兼职自力更生,食堂的那个窗口,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,睡一觉，第二天照常,风景和现场：演出、展览、天空
S0056,食堂窗口,提前两周就复习完了,一周三五次,志愿者协会,靠奖学金过日子,操场的那圈跑道,选了，但没去过几次,羽毛球乒乓球，约人打,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0057,宿舍床上,组团开黑边复习,天天吃,乐队,家里定时打钱,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,球场，组队打一场,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0058,食堂窗口,刷往年题,天天吃,志愿者协会,月初土豪，月底吃土,操场的那圈跑道,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0059,食堂窗口,组团开黑边复习,偶尔,辩论队,靠奖学金过日子,操场的那圈跑道,卡着铃声冲进去，坐最后一排,球场，组队打一场,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0060,图书馆自习室,死磕课本,从不,电竞社,月初土豪，月底吃土,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,球场，组队打一场,去操场跑到没力气,课件、板书、PPT 截图
S0061,图书馆自习室,刷往年题,从不,辩论队,靠奖学金过日子,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,器械区随便练练，练完就走,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0062,宿舍床上,临时抱佛脚,一周三五次,志愿者协会,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0063,宿舍床上,临时抱佛脚,天天吃,乐队,月初土豪，月底吃土,操场的那圈跑道,早上根本没课，我的课都在下午,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0064,网吧,死磕课本,一周三五次,电竞社,月初土豪，月底吃土,操场的那圈跑道,卡着铃声冲进去，坐最后一排,球场，组队打一场,给家里打个电话,和朋友：合影、表情包、抓拍
S0065,食堂窗口,组团开黑边复习,一周三五次,乐队,家里定时打钱,操场的那圈跑道,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,去操场跑到没力气,运动记录、跑步路线、装备
S0066,网吧,组团开黑边复习,天天吃,乐队,月初土豪，月底吃土,操场的那圈跑道,早上根本没课，我的课都在下午,看台或树下，看别人动,给家里打个电话,风景和现场：演出、展览、天空
S0067,网吧,临时抱佛脚,从不,辩论队,家里定时打钱,宿舍的那群人,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0068,图书馆自习室,临时抱佛脚,天天吃,摄影社,月初土豪，月底吃土,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0069,图书馆自习室,死磕课本,一周三五次,摄影社,兼职自力更生,图书馆那张常坐的座位,提前十分钟到，坐前排,球场，组队打一场,拉朋友出去吃一顿,课件、板书、PPT 截图
S0070,图书馆自习室,死磕课本,偶尔,摄影社,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,球场，组队打一场,给家里打个电话,课件、板书、PPT 截图
S0071,图书馆自习室,提前两周就复习完了,偶尔,乐队,靠奖学金过日子,宿舍的那群人,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0072,网吧,刷往年题,一周三五次,摄影社,月初土豪，月底吃土,食堂的那个窗口,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0073,操场跑道,死磕课本,天天吃,辩论队,月初土豪，月底吃土,食堂的那个窗口,让室友帮忙占座，自己慢慢来,球场，组队打一场,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0074,操场跑道,刷往年题,从不,辩论队,兼职自力更生,操场的那圈跑道,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,运动记录、跑步路线、装备
S0075,网吧,临时抱佛脚,天天吃,电竞社,月初土豪，月底吃土,什么也没带走，但也没白来,早上根本没课，我的课都在下午,看台或树下，看别人动,开黑到凌晨，把气打出去,风景和现场：演出、展览、天空
S0076,操场跑道,组团开黑边复习,天天吃,志愿者协会,家里定时打钱,宿舍的那群人,让室友帮忙占座，自己慢慢来,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0077,食堂窗口,刷往年题,偶尔,摄影社,月初土豪，月底吃土,操场的那圈跑道,早上根本没课，我的课都在下午,器械区随便练练，练完就走,去操场跑到没力气,课件、板书、PPT 截图
S0078,网吧,组团开黑边复习,天天吃,志愿者协会,兼职自力更生,宿舍的那群人,早上根本没课，我的课都在下午,看台或树下，看别人动,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0079,食堂窗口,提前两周就复习完了,偶尔,摄影社,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0080,食堂窗口,刷往年题,偶尔,志愿者协会,家里定时打钱,操场的那圈跑道,选了，但没去过几次,器械区随便练练，练完就走,去操场跑到没力气,运动记录、跑步路线、装备
S0081,操场跑道,提前两周就复习完了,从不,辩论队,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,羽毛球乒乓球，约人打,去操场跑到没力气,吃的：外卖、食堂、探店
S0082,操场跑道,提前两周就复习完了,偶尔,乐队,兼职自力更生,操场的那圈跑道,让室友帮忙占座，自己慢慢来,球场，组队打一场,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0083,食堂窗口,刷往年题,从不,乐队,月初土豪，月底吃土,操场的那圈跑道,提前十分钟到，坐前排,羽毛球乒乓球，约人打,拉朋友出去吃一顿,课件、板书、PPT 截图
S0084,食堂窗口,组团开黑边复习,天天吃,乐队,家里定时打钱,操场的那圈跑道,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0085,食堂窗口,临时抱佛脚,一周三五次,乐队,兼职自力更生,宿舍的那群人,早上根本没课，我的课都在下午,看台或树下，看别人动,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0086,网吧,提前两周就复习完了,从不,摄影社,靠奖学金过日子,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,球场，组队打一场,睡一觉，第二天照常,课件、板书、PPT 截图
S0087,食堂窗口,组团开黑边复习,一周三五次,摄影社,月初土豪，月底吃土,食堂的那个窗口,提前十分钟到，坐前排,羽毛球乒乓球，约人打,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0088,网吧,临时抱佛脚,天天吃,乐队,兼职自力更生,图书馆那张常坐的座位,早上根本没课，我的课都在下午,看台或树下，看别人动,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0089,网吧,临时抱佛脚,一周三五次,辩论队,兼职自力更生,操场的那圈跑道,选了，但没去过几次,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0090,食堂窗口,临时抱佛脚,一周三五次,乐队,家里定时打钱,食堂的那个窗口,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0091,图书馆自习室,组团开黑边复习,一周三五次,乐队,家里定时打钱,食堂的那个窗口,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0092,宿舍床上,死磕课本,天天吃,辩论队,家里定时打钱,宿舍的那群人,提前十分钟到，坐前排,羽毛球乒乓球，约人打,给家里打个电话,运动记录、跑步路线、装备
S0093,食堂窗口,死磕课本,从不,志愿者协会,靠奖学金过日子,图书馆那张常坐的座位,早上根本没课，我的课都在下午,器械区随便练练，练完就走,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0094,食堂窗口,提前两周就复习完了,偶尔,辩论队,兼职自力更生,图书馆那张常坐的座位,早上根本没课，我的课都在下午,球场，组队打一场,给家里打个电话,运动记录、跑步路线、装备
S0095,宿舍床上,组团开黑边复习,天天吃,摄影社,月初土豪，月底吃土,操场的那圈跑道,选了，但没去过几次,羽毛球乒乓球，约人打,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0096,宿舍床上,组团开黑边复习,一周三五次,电竞社,家里定时打钱,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0097,操场跑道,刷往年题,偶尔,摄影社,靠奖学金过日子,操场的那圈跑道,选了，但没去过几次,器械区随便练练，练完就走,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0098,图书馆自习室,组团开黑边复习,一周三五次,辩论队,兼职自力更生,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0099,食堂窗口,组团开黑边复习,一周三五次,乐队,家里定时打钱,图书馆那张常坐的座位,选了，但没去过几次,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0100,图书馆自习室,组团开黑边复习,一周三五次,电竞社,月初土豪，月底吃土,什么也没带走，但也没白来,早上根本没课，我的课都在下午,器械区随便练练，练完就走,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0101,宿舍床上,死磕课本,从不,志愿者协会,靠奖学金过日子,图书馆那张常坐的座位,早上根本没课，我的课都在下午,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,课件、板书、PPT 截图
S0102,网吧,临时抱佛脚,天天吃,电竞社,兼职自力更生,图书馆那张常坐的座位,选了，但没去过几次,看台或树下，看别人动,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0103,食堂窗口,刷往年题,一周三五次,辩论队,家里定时打钱,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0104,网吧,组团开黑边复习,天天吃,电竞社,兼职自力更生,什么也没带走，但也没白来,选了，但没去过几次,看台或树下，看别人动,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0105,宿舍床上,临时抱佛脚,偶尔,志愿者协会,月初土豪，月底吃土,什么也没带走，但也没白来,早上根本没课，我的课都在下午,看台或树下，看别人动,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0106,操场跑道,刷往年题,偶尔,摄影社,兼职自力更生,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0107,图书馆自习室,组团开黑边复习,从不,辩论队,靠奖学金过日子,食堂的那个窗口,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,给家里打个电话,运动记录、跑步路线、装备
S0108,宿舍床上,临时抱佛脚,偶尔,志愿者协会,家里定时打钱,食堂的那个窗口,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,给家里打个电话,风景和现场：演出、展览、天空
S0109,宿舍床上,组团开黑边复习,天天吃,辩论队,家里定时打钱,食堂的那个窗口,早上根本没课，我的课都在下午,跑道上，一个人戴着耳机跑,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0110,宿舍床上,临时抱佛脚,天天吃,乐队,月初土豪，月底吃土,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,球场，组队打一场,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0111,食堂窗口,刷往年题,一周三五次,乐队,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,球场，组队打一场,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0112,操场跑道,临时抱佛脚,偶尔,志愿者协会,靠奖学金过日子,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,去操场跑到没力气,运动记录、跑步路线、装备
S0113,食堂窗口,临时抱佛脚,一周三五次,摄影社,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,看台或树下，看别人动,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0114,操场跑道,临时抱佛脚,偶尔,摄影社,家里定时打钱,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,球场，组队打一场,去操场跑到没力气,吃的：外卖、食堂、探店
S0115,操场跑道,组团开黑边复习,从不,辩论队,家里定时打钱,图书馆那张常坐的座位,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,睡一觉，第二天照常,运动记录、跑步路线、装备
S0116,食堂窗口,死磕课本,天天吃,志愿者协会,家里定时打钱,图书馆那张常坐的座位,提前十分钟到，坐前排,羽毛球乒乓球，约人打,睡一觉，第二天照常,课件、板书、PPT 截图
S0117,图书馆自习室,死磕课本,一周三五次,辩论队,兼职自力更生,食堂的那个窗口,早上根本没课，我的课都在下午,器械区随便练练，练完就走,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0118,图书馆自习室,提前两周就复习完了,偶尔,志愿者协会,靠奖学金过日子,宿舍的那群人,卡着铃声冲进去，坐最后一排,球场，组队打一场,睡一觉，第二天照常,课件、板书、PPT 截图
S0119,网吧,组团开黑边复习,天天吃,志愿者协会,月初土豪，月底吃土,食堂的那个窗口,卡着铃声冲进去，坐最后一排,球场，组队打一场,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0120,食堂窗口,组团开黑边复习,天天吃,摄影社,兼职自力更生,食堂的那个窗口,早上根本没课，我的课都在下午,看台或树下，看别人动,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0121,图书馆自习室,提前两周就复习完了,从不,辩论队,靠奖学金过日子,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,课件、板书、PPT 截图
S0122,宿舍床上,组团开黑边复习,天天吃,电竞社,兼职自力更生,宿舍的那群人,早上根本没课，我的课都在下午,看台或树下，看别人动,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0123,网吧,组团开黑边复习,天天吃,辩论队,靠奖学金过日子,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,去操场跑到没力气,吃的：外卖、食堂、探店
S0124,图书馆自习室,提前两周就复习完了,偶尔,志愿者协会,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0125,宿舍床上,刷往年题,一周三五次,辩论队,家里定时打钱,操场的那圈跑道,选了，但没去过几次,羽毛球乒乓球，约人打,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0126,网吧,临时抱佛脚,天天吃,乐队,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,球场，组队打一场,开黑到凌晨，把气打出去,风景和现场：演出、展览、天空
S0127,宿舍床上,死磕课本,从不,摄影社,靠奖学金过日子,食堂的那个窗口,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0128,图书馆自习室,提前两周就复习完了,偶尔,辩论队,靠奖学金过日子,图书馆那张常坐的座位,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,给家里打个电话,和朋友：合影、表情包、抓拍
S0129,宿舍床上,组团开黑边复习,天天吃,电竞社,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,看台或树下，看别人动,给家里打个电话,运动记录、跑步路线、装备
S0130,宿舍床上,组团开黑边复习,天天吃,乐队,月初土豪，月底吃土,宿舍的那群人,提前十分钟到，坐前排,器械区随便练练，练完就走,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0131,操场跑道,刷往年题,天天吃,乐队,家里定时打钱,宿舍的那群人,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0132,网吧,刷往年题,一周三五次,电竞社,家里定时打钱,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,拉朋友出去吃一顿,吃的：外卖、食堂、探店
